#Acq. time (s)=	5
#Accumulations=	20
#Range (cm-¹)=	1000...3000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic Range
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-59.91
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x50_VIS_LWD
#Grating=	300 (600nm)
#ND Filter=	10%
#Laser=	633nm_Edge
#Hole=	199.981
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	-1787.3
#Full time(mm:ss)=	1:49
#Project=	
#Sample=	
#Site=	
#Title=	electrolyte_test_5x20_10%_633nm
#Remark=	
#Date=	18.09.2024 09:20
#Acquired=	18.09.2024 09:20:42
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
1000.77	920.737
1003.1	919.684
1005.43	918.842
1007.76	921.684
1010.09	921.474
1012.42	913.789
1014.74	913.684
1017.07	909.684
1019.4	911.368
1021.72	934.947
1024.05	926.421
1026.37	927.368
1028.69	915.158
1031.02	925.474
1033.34	918.947
1035.66	919.158
1037.98	916.316
1040.3	927.474
1042.61	924.632
1044.93	917.158
1047.25	920.211
1049.56	927.368
1051.88	921.158
1054.19	909.684
1056.51	924.842
1058.82	916.947
1061.13	931.053
1063.45	917.684
1065.76	921.684
1068.07	927.579
1070.38	936.421
1072.68	942.526
1074.99	938.421
1077.3	941.368
1079.61	945.895
1081.91	949.158
1084.22	947.158
1086.52	949.474
1088.83	949.263
1091.13	938.842
1093.43	947.369
1095.73	945.684
1098.03	950.737
1100.33	946.526
1102.63	953.368
1104.93	956.737
1107.23	962.105
1109.52	979.158
1111.82	971.895
1114.12	980.421
1116.41	973.474
1118.71	972.842
1121	970.632
1123.29	976.316
1125.58	967.158
1127.87	970.211
1130.16	968.21
1132.45	969.158
1134.74	975.895
1137.03	979.263
1139.32	975.684
1141.6	983.579
1143.89	982.842
1146.18	979.368
1148.46	974.526
